target model it0_rmsd it1_rmsd delta_rmsd protocol
ace 101 11.1867 11.2541 -0.0674 shape
ace 102 9.48016 10.3335 -0.85334 shape
ace 103 4.69912 3.00999 1.68913 shape
ace 104 3.45595 2.67297 0.78298 shape
ace 105 5.43714 5.35857 0.07857 shape
ace 106 5.43715 4.62737 0.80978 shape
ace 107 10.7821 10.2486 0.5335 shape
ace 108 9.20177 10.058 -0.85623 shape
ace 109 10.1357 10.1165 0.0192 shape
ace 110 10.1894 10.9823 -0.7929 shape
ace 111 3.00821 2.66442 0.34379 shape
ace 112 10.1962 10.2766 -0.0804 shape
ace 113 10.1839 9.9639 0.22 shape
ace 114 10.9752 10.4759 0.4993 shape
ace 115 10.6873 10.4133 0.274 shape
ace 116 10.136 10.8231 -0.6871 shape
ace 117 10.5039 10.8137 -0.3098 shape
ace 118 10.5039 10.556 -0.0521 shape
ace 119 10.4428 10.3962 0.0466 shape
ace 120 10.343 9.63112 0.71188 shape
ace 121 10.7576 10.2917 0.4659 shape
ace 122 10.5838 10.5807 0.0031 shape
ace 123 5.16129 5.21106 -0.04977 shape
ace 124 5.1613 5.50415 -0.34285 shape
ace 125 10.3127 9.80431 0.50839 shape
ace 126 10.0545 9.93947 0.11503 shape
ace 127 4.57577 4.30571 0.27006 shape
ace 128 4.57579 4.23778 0.33801 shape
ace 129 10.4953 9.96279 0.53251 shape
ace 130 10.4954 10.3627 0.1327 shape
ace 131 10.4953 10.2422 0.2531 shape
ace 132 10.9298 10.1353 0.7945 shape
ace 133 10.6591 10.7004 -0.0413 shape
ace 134 10.2212 10.6539 -0.4327 shape
ace 135 5.37557 5.37736 -0.00179 shape
ace 136 4.28484 3.69292 0.59192 shape
ace 137 10.8797 10.6106 0.2691 shape
ace 138 10.8798 10.5354 0.3444 shape
ace 139 4.89556 4.76707 0.12849 shape
ace 140 3.36905 2.33667 1.03238 shape
ace 141 2.78694 2.6248 0.16214 shape
ace 142 2.78628 2.55566 0.23062 shape
ace 143 8.6487 10.0796 -1.4309 shape
ace 144 10.6613 10.046 0.6153 shape
ace 145 4.94913 4.38555 0.56358 shape
ace 146 9.78395 9.7923 -0.00835 shape
ace 147 6.9284 6.01224 0.91616 shape
ace 148 11.0468 10.4561 0.5907 shape
ace 149 5.00764 2.60314 2.4045 shape
ace 150 10.092 10.0891 0.0029 shape
ace 151 3.23456 2.66885 0.56571 shape
ace 152 3.7418 3.2065 0.5353 shape
ace 153 11.3544 10.6317 0.7227 shape
ace 154 5.53193 4.92614 0.60579 shape
ace 155 7.40854 7.52473 -0.11619 shape
